,y_true,y_lasso,y_enet,,,
365,0.037496034,0.012182298,0.012260958,,0.000640785,0.000636809
366,-0.135304304,0.012182298,0.012260958,,0.021752298,0.021775507
367,0.507302534,0.014951638,0.017424133,,0.242409404,0.239980847
368,0.031892697,0.014951638,0.017424133,,0.000286999,0.000209339
369,0.064679583,0.014951638,0.017424133,,0.002472868,0.002233077
370,-0.111177347,0.014951638,0.017424133,,0.015908521,0.016538341
371,-0.492697466,0.014951638,0.017424133,,0.257707614,0.260224047
372,-0.284446556,0.011005524,0.010066974,,0.087291932,0.08673822
373,-0.280317427,0.011005524,0.010066974,,0.084869062,0.084323101
374,-0.244281391,0.011005524,0.010066974,,0.065171409,0.064693091
375,-0.279942051,0.011005524,0.010066974,,0.084650492,0.084105235
376,-0.281068178,0.011005524,0.010066974,,0.085307047,0.084759677
377,-0.255542652,0.011005524,0.010066974,,0.07104793,0.070548474
378,-0.107209051,0.013984069,0.015620191,,0.014687772,0.015087023
379,-0.26790506,0.013984069,0.015620191,,0.079461481,0.080386568
380,-0.364885612,0.013984069,0.015620191,,0.143542235,0.144784667
381,-0.299634845,0.013984069,0.015620191,,0.098356823,0.099385738
382,-0.249737199,0.013984069,0.015620191,,0.069548907,0.070414544
383,-0.272766882,0.013984069,0.015620191,,0.082226108,0.083167104
384,-0.325735152,0.013984069,0.015620191,,0.115409149,0.11652347
385,-0.131262276,0.013984069,0.015620191,,0.021096501,0.021574459
386,0.217509475,0.013984069,0.015620191,,0.041422591,0.040759283
387,0.061675288,0.013984069,0.015620191,,0.002274452,0.002121072
388,0.033272013,0.013984069,0.015620191,,0.000372025,0.000311587
