,id,year,month,pSales,predict,error
13936,273,2015,12,2.0,-1.0,-3.0
13937,273,2015,11,-1.0,-1.0,0.0
13938,273,2015,10,-0.0,-1.0,-1.0
13939,273,2015,9,2.0,-1.0,-3.0
13940,273,2015,8,-1.0,-1.0,0.0
13965,274,2016,8,-3.0,-1.0,2.0
13973,274,2015,12,1.0,-1.0,-2.0
13974,274,2015,9,2.0,-1.0,-3.0
13975,274,2015,8,1.0,-1.0,-2.0
13987,276,2016,8,-3.0,-2.0,1.0
13995,276,2015,12,-4.0,-1.0,3.0
13996,276,2015,11,-4.0,-1.0,3.0
13997,276,2015,10,-4.0,-1.0,3.0
13998,276,2015,9,-4.0,-1.0,3.0
13999,276,2015,8,-3.0,-1.0,2.0
14072,277,2016,8,-4.0,-2.0,2.0
14080,277,2015,12,7.0,-1.0,-8.0
14081,277,2015,11,3.0,-1.0,-4.0
14082,277,2015,10,1.0,-1.0,-2.0
14083,277,2015,9,0.0,-1.0,-1.0
14084,277,2015,8,0.0,-1.0,-1.0
14089,278,2016,8,-2.0,-2.0,0.0
14095,278,2015,12,-2.0,-1.0,1.0
14096,278,2015,11,-2.0,-1.0,1.0
14097,278,2015,10,-2.0,-2.0,0.0
14098,278,2015,9,-2.0,-2.0,0.0
14099,278,2015,8,-2.0,-2.0,0.0
14180,280,2016,8,-1.0,-2.0,-1.0
14187,280,2015,12,3.0,-1.0,-4.0
14188,280,2015,11,1.0,-1.0,-2.0
14189,280,2015,10,1.0,-1.0,-2.0
14190,280,2015,9,-0.0,-1.0,-1.0
14191,280,2015,8,-1.0,-1.0,0.0
14259,281,2016,8,-3.0,-2.0,1.0
14267,281,2015,12,-0.0,-1.0,-1.0
14268,281,2015,11,-2.0,-1.0,1.0
14269,281,2015,10,-2.0,-1.0,1.0
14270,281,2015,9,-1.0,-1.0,0.0
14271,281,2015,8,-2.0,-1.0,1.0
14325,282,2016,8,-4.0,-2.0,2.0
14333,282,2015,12,-4.0,-1.0,3.0
14334,282,2015,11,-4.0,-1.0,3.0
14335,282,2015,10,-4.0,-1.0,3.0
14336,282,2015,9,-2.0,-1.0,1.0
14337,282,2015,8,-3.0,-1.0,2.0
14471,285,2016,8,-3.0,-1.0,2.0
14479,285,2015,12,-2.0,-1.0,1.0
14480,285,2015,11,-3.0,-1.0,2.0
14481,285,2015,10,-3.0,-1.0,2.0
